"stratum","value","week","year","date"
"A15..34",14.1868023173661,32,2019,2019-08-11
"A15..34",17.1824219301964,33,2019,2019-08-18
"A15..34",17.1824219301964,34,2019,2019-08-25
"A15..34",13.1694220714992,35,2019,2019-09-01
"A15..34",12.1520418256323,36,2019,2019-09-08
"A15..34",12.1520418256323,37,2019,2019-09-15
"A15..34",7.19231312703124,38,2019,2019-09-22
"A15..34",22.1986717535679,39,2019,2019-09-29
"A15..34",16.1650416843295,40,2019,2019-10-06
"A15..34",24.1769111205313,41,2019,2019-10-13
"A15..34",22.1986717535679,42,2019,2019-10-20
"A15..34",18.1998021760633,43,2019,2019-10-27
"A15..34",25.1942913663982,44,2019,2019-11-03
"A15..34",27.158400452169,45,2019,2019-11-10
"A15..34",30.1540200649993,46,2019,2019-11-17
"A15..34",25.1942913663982,47,2019,2019-11-24
"A15..34",21.181291507701,48,2019,2019-12-01
"A15..34",26.2116716122651,49,2019,2019-12-08
"A15..34",30.1540200649993,50,2019,2019-12-15
"A15..34",22.1986717535679,51,2019,2019-12-22
"A15..34",25.1942913663982,52,2019,2019-12-29
"A15..34",35.1702698883708,1,2020,2020-01-05
"A15..34",36.1876501342377,2,2020,2020-01-12
"A15..34",28.1757806980359,3,2020,2020-01-19
"A15..34",54.1754980924121,4,2020,2020-01-26
"A15..34",46.1636286562103,5,2020,2020-02-02
"A15..34",52.2113890066412,6,2020,2020-02-09
"A15..34",46.1636286562103,7,2020,2020-02-16
"A15..34",54.1754980924121,8,2020,2020-02-23
"A15..34",57.1711177052424,9,2020,2020-03-01
"A15..34",56.1537374593755,10,2020,2020-03-08
"A15..34",50.1766285149075,11,2020,2020-03-15
"A15..34",45.1462484103434,12,2020,2020-03-22
"A15..34",25.1942913663982,13,2020,2020-03-29
"A15..34",32.1746502755405,14,2020,2020-04-05
"A15..34",22.1986717535679,15,2020,2020-04-12
"A15..34",24.1769111205313,16,2020,2020-04-19
"A15..34",20.1639112618341,17,2020,2020-04-26
"A15..34",17.1824219301964,18,2020,2020-05-03
"A15..34",15.204182563233,19,2020,2020-05-10
"A15..34",8.15317224812776,20,2020,2020-05-17
"A15..34",8.15317224812776,21,2020,2020-05-24
"A15..34",10.1879327398615,22,2020,2020-05-31
"A15..34",5.15755263529746,23,2020,2020-06-07
"A15..34",13.1694220714992,24,2020,2020-06-14
"A15..34",12.1520418256323,25,2020,2020-06-21
"A15..34",8.15317224812776,26,2020,2020-06-28
"A15..34",9.17055249399465,27,2020,2020-07-05
"A15..34",10.1879327398615,28,2020,2020-07-12
"A15..34",15.204182563233,29,2020,2020-07-19
"A15..34",13.1694220714992,30,2020,2020-07-26
"A15..34",11.2053129857284,31,2020,2020-08-02
"A15..34",12.1520418256323,32,2020,2020-08-09
"A15..34",17.1824219301964,33,2020,2020-08-16
"A15..34",19.1465310159672,34,2020,2020-08-23
"A15..34",14.1868023173661,35,2020,2020-08-30
"A15..34",15.204182563233,36,2020,2020-09-06
"A15..34",23.1595308746644,37,2020,2020-09-13
"A15..34",14.1868023173661,38,2020,2020-09-20
"A15..34",16.1650416843295,39,2020,2020-09-27
"A15..34",24.1769111205313,40,2020,2020-10-04
"A15..34",20.1639112618341,41,2020,2020-10-11
"A15..34",11.2053129857284,42,2020,2020-10-18
"A15..34",30.1540200649993,43,2020,2020-10-25
"A15..34",35.1702698883708,44,2020,2020-11-01
"A15..34",25.1942913663982,45,2020,2020-11-08
"A15..34",40.1865197117423,46,2020,2020-11-15
"A15..34",22.1986717535679,47,2020,2020-11-22
"A15..34",33.1920305214074,48,2020,2020-11-29
"A15..34",31.1714003108662,49,2020,2020-12-06
"A15..34",19.1465310159672,50,2020,2020-12-13
"A15..34",32.1746502755405,51,2020,2020-12-20
"A15..34",24.1769111205313,52,2020,2020-12-27
"A15..34",21.181291507701,53,2020,2021-01-03
"A15..34",26.2116716122651,1,2021,2021-01-10
"A15..34",12.1520418256324,2,2021,2021-01-17
"A15..34",12.1520418256324,3,2021,2021-01-24
